"event","trial","time","PID"
"focus","0","0","l0I2Q"
"focus","0","0","l0I2Q"
"blur","0","32058","l0I2Q"
"focus","0","34788","l0I2Q"
"fullscreenenter","0","63321","l0I2Q"
"blur","54","493547","l0I2Q"
"focus","54","883393","l0I2Q"
"blur","152","2170676","l0I2Q"
"focus","152","2242057","l0I2Q"
"blur","193","2542082","l0I2Q"
"focus","193","2665045","l0I2Q"
"blur","193","2675333","l0I2Q"
"focus","193","2709032","l0I2Q"
"blur","193","2844628","l0I2Q"
"focus","193","2866702","l0I2Q"
"fullscreenexit","1330","4796119","l0I2Q"
"blur","1330","4797674","l0I2Q"
"focus","1330","4822887","l0I2Q"
"blur","1330","4824375","l0I2Q"
"focus","1330","4840370","l0I2Q"
